Term1,Term2,score
glaucoma,fibrillation,0.20108108108108108
glaucoma,fibrillation,0.1989189189189189
carbatrol,dilantin,0.267027027027027
cardiomyopathy,tylenol,0.1736936936936937
coccidioidomycosis,histoplasmosis,0.7072072072072072
angina,plavix,0.48558558558558557
zofran,ipecac syrup,0.21207207207207207
seizures,insulin,0.2398198198198198
septicemia,dyspnea,0.3131531531531532
nystagmus,incontinence,0.26360360360360363
seasickness,ethanol,0.4655855855855856
plague,cholestyramine,0.18396396396396397
nausea,vomiting,0.749009009009009
ketonuria,chyluria,0.2410810810810811
parasitemia,malaria,0.8931531531531531
proteinuria,diabetes,0.7545945945945945
gastroenteritis,cromolyn,0.2818018018018018
hypoproteinemia,hunger,0.3745945945945946
hypoproteinemia,hunger,0.6389189189189189
spiriva,serevent,0.8061261261261261
ketonuria,folic acid,0.27603603603603605
cataracts,wheezing,0.1565765765765766
diabetes,psoriasis,0.29693693693693696
blanching,pallor,0.850990990990991
photosensitization,aphonia,0.20486486486486485
polyuria,chyluria,0.13657657657657657
psoriasis,meningism,0.16018018018018018
comatose,hepatitis,0.4072072072072072
neuropathy,glucophage,0.35153153153153155
psoriasis,arthritis,0.8279279279279279
tuberculosis,clubbing,0.45495495495495497
obesity,diabetes,0.8232432432432433
thromboembolism,hemoptysis,0.614054054054054
cardura,hytrin,0.5162162162162162
cataracts,glucophage,0.19657657657657657
cirrhosis,banana bag,0.3769369369369369
cataracts,insulin,0.2818018018018018
anemia,reticulocytosis,0.6464864864864864
seizures,dilantin,0.7219819819819819
garlic,fish oil,0.672972972972973
cefoxitin,ceftiaxone,0.8320720720720721
deafness,ataxia,0.42
penicillin,cefazolin,0.7774774774774775
hemochromatosis,anosmia,0.27531531531531533
ischemias,mittelschmerz,0.28684684684684686
pallor,aspirin,0.29315315315315316
earache,crowning,0.26504504504504506
herpes,cholestasis,0.3425225225225225
dyslipidemia,cholestyramine,0.6410810810810811
rabies,acne,0.18468468468468469
chyluria,menouria,0.17225225225225224
codeine,narcan,0.41693693693693695
coumadin,aspirin,0.734954954954955
vancocin,glucotrol,0.5976576576576577
pallor,coumadin,0.46
aneurysm,osteoporosis,0.16666666666666666
flatulence,glucagen,0.5243243243243243
cefazolin,keflex,0.9535135135135135
osteoporosis,thrombus,0.17351351351351352
encephalitis,meningitis,0.747927927927928
hemophilia,thromboembolism,0.32432432432432434
arthritis,arthralgia,0.7863063063063063
urethrorrhea,tremor,0.24684684684684685
albumin,heparin,0.27207207207207207
psoriasis,coreg,0.14036036036036037
haemorrhoids,infertility,0.13783783783783785
epilepsy,phenobarbital,0.678018018018018
psoriasis,spasm,0.15945945945945947
snoring,loperamide,0.1744144144144144
myelosuppression,snoring,0.258018018018018
pneumoniae,septicemia,0.6913513513513514
hernias,dementia,0.17135135135135135
hematemesis,vomiting,0.7295495495495495
arthralgia,pain,0.8693693693693694
synthroid,lidocaine,0.19477477477477478
arthralgia,clubbing,0.22882882882882882
hemophilia,glucotrol,0.1218018018018018
dysuria,plavix,0.15315315315315314
underexertion,virilism,0.21225225225225225
aneurysm,silvadene,0.2454054054054054
colchicine,prednisolone,0.6135135135135135
hernia,sinemet,0.30126126126126124
overnutrition,seizures,0.2857657657657658
cataracts,pancreatitis,0.22162162162162163
ethanol,alcohol,0.9120720720720721
esmolol,amiodarone,0.763063063063063
pancreatitis,insulin,0.5401801801801802
gastroenteritis,insulin,0.25351351351351353
leukopenia,cefaclor,0.2472072072072072
histoplasmosis,prednisolone,0.209009009009009
neuropathy,constipation,0.34396396396396395
clubbing,dyspnea,0.6708108108108108
mycosis,lipitor,0.21657657657657658
hemicrania,headache,0.5396396396396397
loperamide,dulcolax,0.5527927927927928
sluggishness,fatigue,0.8551351351351352
dyslipidemia,iron,0.17225225225225224
thalassemia,tremor,0.16684684684684684
anovulation,mittelschmerz,0.40234234234234234
ischemias,aloe vera,0.1827027027027027
bronchitis,singulair,0.5313513513513514
lipitor,lovastatin,0.8466666666666667
pneumoniae,weakness,0.45675675675675675
spasm,lasix,0.29963963963963963
torticollis,erythromycin,0.2472072072072072
silvadene,ketamine,0.21171171171171171
hemochromatosis,polyuria,0.22306306306306306
dehydration,starvation,0.7041441441441442
colitis,epilepsy,0.11747747747747747
ketonuria,starvation,0.883063063063063
gonorrhea,plavix,0.12468468468468469
thalassemia,hemoglobinopathy,0.941981981981982
reticulocytosis,aspirin,0.4834234234234234
mycosis,carboplatin,0.2454054054054054
mycoses,meningitis,0.7030630630630631
maculopapule,macule,0.7855855855855856
aloe vera,vicodin,0.13513513513513514
acetylcysteine,adenosine,0.18468468468468469
cromolyn,prednisolone,0.616936936936937
diarrhea,cefaclor,0.36666666666666664
ceftazidime,ceftiaxone,0.7830630630630631
pain,morphine,0.7183783783783784
narcan,duragesic,0.349009009009009
vasculitis,hemiplegia,0.26198198198198197
colchicine,probenecid,0.7918918918918919
cozaar,diovan,0.8962162162162162
cirrhosis,anemia,0.5243243243243243
cefepime,bacitracin,0.4672072072072072
starvation,mittelschmerz,0.10486486486486486
photosensitization,dermatitis,0.6902702702702703
dexamethasone,actonel,0.3401801801801802
hepatitis,tylenol,0.6344144144144144
hernias,earache,0.12954954954954956
zoonosis,babesiosis,0.8192792792792792
rhonchi,rales,0.7751351351351351
tiredness,atenolol,0.387027027027027
atherosclerosis,angina,0.6745945945945946
myositis,myopathy,0.7949549549549549
bronchitis,loperamide,0.17495495495495494
levaquin,avelox,0.8073873873873874
cefaclor,cefoxitin,0.8464864864864865
erythromycin,lidocaine,0.3099099099099099
hypothyroidism,infertility,0.430990990990991
protonix,tums,0.7003603603603603
catatonia,lethargy,0.6414414414414414
schistosomiasis,cardura,0.14540540540540542
polydipsia,polyuria,0.8183783783783783
cirrhosis,lipitor,0.28144144144144145
stridor,snoring,0.46594594594594596
atenolol,lasix,0.5104504504504505
enalapril,lisinopril,0.9225225225225225
hyperemesis,carboplatin,0.5515315315315316
reticulocytosis,hematemesis,0.30774774774774777
uremias,hypersomnolence,0.47387387387387386
infertility,fibrillation,0.24936936936936938
ketonuria,insulin,0.6425225225225225
candidiasis,prostatorrhea,0.2763963963963964
heparin,protamine sulfate,0.49801801801801804
mycosis,pain,0.25603603603603603
proteinuria,rogaine,0.2055855855855856
angina,dyspnea,0.4628828828828829
bacteremia,amauroses,0.3207207207207207
uremias,emaciation,0.36
osteoporosis,cardiomyopathy,0.21279279279279278
hyperemesis,nausea,0.8938738738738738
parasitemia,cardialgia,0.23855855855855856
neuropathy,insulin,0.543963963963964
seasickness,clubbing,0.22072072072072071
cardialgia,loperamide,0.20144144144144144
brucellosis,zoonosis,0.8618018018018018
atenolol,toprol-xr,0.921981981981982
emaciation,cachexia,0.92990990990991
aphonia,mittelschmerz,0.15441441441441442
starvation,anorexia,0.8481081081081081
blepharospasm,coumadin,0.14972972972972973
ampicillin,amoxil,0.8922522522522522
angina,diarrhea,0.19513513513513514
lasix,mannitol,0.4745945945945946
exophthalmos,prostatism,0.1754954954954955
uremias,aspirin,0.1845045045045045
sinemet,gifulvin,0.17315315315315316
hernia,goiter,0.2556756756756757
dehydration,syncope,0.6470270270270271
fish-mouthing,polyuria,0.21855855855855855
arthritis,rheumatism,0.8311711711711711
infertility,anovulation,0.8596396396396396
infertility,anovulation,0.92
mycosis,histoplasmosis,0.9243243243243243
cataracts,diabetes,0.4704504504504505
overnutrition,malnutrition,0.11585585585585585
convulsion,epilepsy,0.9389189189189189
cyanosis,folic acid,0.2634234234234234
infertility,blepharospasm,0.16234234234234235
neuropathy,diabetes,0.7437837837837837
erythromycin,allopurinol,0.24900900900900902
pallor,weakness,0.7996396396396397
hyperextension,lopid,0.1864864864864865
weakness,paresis,0.8347747747747748
grimaces,hemiballismus,0.45693693693693693
dizziness,vertigo,0.9275675675675675
dyslipidemia,angina,0.5809009009009009
giardiasis,avitaminoses,0.30414414414414415
seizures,aloe vera,0.1209009009009009
zoloft,prozac,0.8207207207207208
peritonitis,ataxia,0.20306306306306307
actonel,fosamax,0.92
arthralgia,chyluria,0.14486486486486486
clubbing,constipation,0.1209009009009009
constipation,diarrhea,0.11603603603603603
arthritis,cirrhosis,0.44576576576576576
cataracts,narcan,0.1899099099099099
agitation,morphine,0.3801801801801802
anosmia,aphonia,0.609009009009009
syncope,weakness,0.5311711711711712
regurgitation,heartburn,0.7974774774774774
activase,streptase,0.5497297297297298
zithromax,cipro,0.6954954954954955
catatonia,narcan,0.3300900900900901
arthralgia,tylenol,0.6264864864864865
blepharospasm,bedwetting,0.23153153153153153
meningitis,headache,0.8801801801801802
glyburide,avandia,0.8131531531531532
anosmia,catch,0.19783783783783784
angina,corkscrewing,0.48018018018018016
thrombophilias,hemoptysis,0.33855855855855854
obesity,xenical,0.725945945945946
glucotrol,motrin,0.2381981981981982
atherosclerosis,influenzae,0.18576576576576576
scapulalgia,halitosis,0.1682882882882883
hepatomegaly,hepatosplenomegaly,0.8394594594594594
anosmia,digoxin,0.21117117117117118
flatulence,halitosis,0.5781981981981982
flushing,iron,0.36864864864864866
mittelschmerz,aphonia,0.1436036036036036
clubbing,vitamin k,0.25981981981981983
thirsty,hunger,0.6744144144144144
bronchitis,pneumonia,0.734954954954955
candidiasis,medrol,0.2812612612612613
fibrillation,calamine,0.1845045045045045
digoxin,cardizem,0.7531531531531531
xanax,ativan,0.9145945945945946
hepatitis,cirrhosis,0.8454054054054054
clubbing,garlic,0.1398198198198198
rheumatism,sleeplessness,0.2772972972972973
diabetes,hyperglycemia,0.8899099099099099
hemicrania,nitroglycerine,0.2153153153153153
ataxia,constipation,0.22288288288288288
mycosis,coccidioses,0.8196396396396396
catapres,toprol-xr,0.663963963963964
ceftiaxone,cefoxitin,0.8664864864864865
hemicrania,tylenol,0.4464864864864865
plavix,coumadin,0.8529729729729729
gastroenteritis,dysentery,0.905045045045045
epilepsy,hepatomegaly,0.15009009009009008
prilosec,glucophage,0.22036036036036036
medrol,prednisolone,1.0
scapulalgia,nitroglycerine,0.17783783783783783
mycosis,blastomycoses,0.8061261261261261
cholestyramine,zetia,0.8533333333333334
urethrorrhea,aphonia,0.1681081081081081
carboplatin,cisplatin,0.9178378378378378
isosorbide,toprol-xr,0.7434234234234234
doxycyline,penicillin,0.4906306306306306
uremias,motrin,0.2834234234234234
rales,cyanosis,0.4954954954954955
hyperextension,hunger,0.2436036036036036
mittelschmerz,actonel,0.22162162162162163
cirrhosis,hemochromatosis,0.689009009009009
pancreatitis,cataract,0.2464864864864865
pancreatitis,maculopapule,0.25117117117117116
hyperacusis,aphonia,0.31117117117117116
thrombocytopenia,heartburn,0.23675675675675675
appendicitis,peritonitis,0.6736936936936937
metatarsalgia,colchicine,0.570990990990991
bandemia,granulocytosis,0.49243243243243245
levophed,propofol,0.565045045045045
rheumatism,polyarthritides,0.8106306306306307
chills,snoring,0.23243243243243245
camelpox,echinacea,0.32432432432432434
overnutrition,sandimmune,0.16774774774774776
leukopenia,bleomycin,0.6414414414414414
atherosclerosis,urethrorrhea,0.15297297297297296
hemiplegia,headache,0.40468468468468466
atherosclerosis,toothache,0.16180180180180181
clonus,spasm,0.6969369369369369
brucellosis,narcan,0.14396396396396396
thalassemia,iron,0.6432432432432432
nitroglycerine,toprol-xr,0.5659459459459459
hyperoxia,xenical,0.24756756756756756
hyperoxia,xenical,0.14216216216216215
airsickness,osteoporosis,0.14882882882882884
constipation,cardizem,0.12882882882882882
candidiasis,mycosis,0.8297297297297297
zocor,fish oil,0.6655855855855856
vasculitis,convulsion,0.26846846846846845
syncope,xanax,0.4455855855855856
gonorrhea,xenical,0.13963963963963963
schistosomiasis,parasitemia,0.8558558558558559
lipitor,zocor,0.9590990990990991
snoring,welts,0.23603603603603604
comatose,cataracts,0.19117117117117116
wellbutrin,endep,0.2227027027027027
anosmia,constipation,0.17603603603603604
headache,flushing,0.29783783783783785
bandemia,nausea,0.3627027027027027
phenobarbital,valproic acid,0.7542342342342342
bleomycin,antabuse,0.24342342342342344
avitaminoses,starvation,0.7097297297297297
mycosis,medrol,0.2801801801801802
polyarthritides,arthralgia,0.8115315315315316
cirrhosis,zocor,0.3589189189189189
hunger,starvation,0.8176576576576576
hypothyroidism,comatose,0.5122522522522522
tylenol,motrin,0.769009009009009
hyperoxia,anoxemia,0.18162162162162163
anovulation,torticollis,0.1643243243243243
arthritis,underexertion,0.24018018018018017
diabetes,polyuria,0.7682882882882883
hemoptysis,hematemesis,0.6545945945945946
syphilis,gonorrhea,0.816036036036036
cataracts,scapulalgia,0.20792792792792794
epilepsy,ativan,0.6028828828828828
adenitis,stridor,0.48018018018018016
clubbing,spiriva,0.6102702702702703
asthma,urolithiasis,0.20612612612612613
fibrillation,halitosis,0.2508108108108108
glomerulosclerosis,proteinuria,0.6183783783783784
seizures,calamine,0.1374774774774775
allopurinol,colchicine,0.8232432432432433
hemochromatosis,arthralgia,0.558018018018018
amantadine,tamiflu,0.8598198198198198
pneumonia,cyanosis,0.4491891891891892
cluttering,nitroglycerine,0.1581981981981982
thrombocytopenia,arthritis,0.2209009009009009
syncope,atenolol,0.4609009009009009
epilepsy,anosmia,0.2913513513513514
agitation,synthroid,0.4594594594594595
erythema,dilantin,0.33765765765765765
rales,hyperacusis,0.1810810810810811
cortisone,adenosine,0.15477477477477478
erythema,tremor,0.22774774774774775
dyspnea,cyanosis,0.7583783783783784
uremias,nausea,0.4477477477477477
prostatism,prostatorrhea,0.6953153153153153
hemoglobinopathy,pain,0.36414414414414414
weakness,emaciation,0.6891891891891891
dyspnea,spiriva,0.7751351351351351
dyslipidemia,activase,0.38324324324324327
leukopenia,penicillin,0.3
weakness,glucagen,0.26522522522522524
constipation,calan,0.1390990990990991
goiter,vasculitis,0.23405405405405405
nocturia,bacitracin,0.25495495495495496
hyperthyroidism,osteoporosis,0.35585585585585583
pallor,blanching,0.6882882882882883
vfend,prozac,0.13927927927927927
rales,lasix,0.5347747747747748
anemia,coumadin,0.44954954954954957
coccidioses,medrol,0.28
tiredness,hypersomnolence,0.7605405405405405
polyuria,ketonuria,0.7158558558558559
toothache,ataxia,0.18414414414414415
mannitol,tylenol,0.16072072072072072
clonus,wellbutrin,0.22882882882882882
fish oil,zocor,0.5834234234234235
dyslipidemia,constipation,0.22954954954954954
mycosis,prostatism,0.19567567567567568
dementia,aloe vera,0.16108108108108107
dysentery,esmolol,0.1654054054054054
plague,vivarin,0.20072072072072072
rabies,silvadene,0.17225225225225224
rabies,head-face-neck-syndrome,0.3007207207207207
plavix,insulin,0.2063063063063063
giardiasis,mannerism,0.11009009009009009
